## STRATEGY: exact
## SKIPPED: ['has_low_plasma_membrane_amount', 'has_relational_adjective', 'has_high_plasma_membrane_amount', 'has_completed', 'has_not_completed', 'seeAlso', 'lacks_part', 'lacks_plasma_membrane_part', 'immediate_transformation_of']
true_positive	11532192	1861	1882	retinal ganglion cell	cl	CL:0000740	retinal ganglion cell (,{gangliocyte, ganglion cell of retina, RGC})
true_positive	12546709	7158	7162	cell	cl	CL:0000000	cell (,)
true_positive	12546709	13185	13189	Cell	cl	CL:0000000	cell (,)
true_positive	12546709	13329	13334	cells	cl	CL:0000000	cell (,)
true_positive	12546709	13746	13751	cells	cl	CL:0000000	cell (,)
true_positive	12546709	16919	16924	cells	cl	CL:0000000	cell (,)
true_positive	12546709	17182	17187	cells	cl	CL:0000000	cell (,)
true_positive	12546709	17582	17587	cells	cl	CL:0000000	cell (,)
true_positive	12546709	17698	17703	cells	cl	CL:0000000	cell (,)
true_positive	12546709	18197	18202	cells	cl	CL:0000000	cell (,)
true_positive	12546709	18460	18465	cells	cl	CL:0000000	cell (,)
true_positive	12546709	18608	18612	cell	cl	CL:0000000	cell (,)
true_positive	12546709	18852	18857	cells	cl	CL:0000000	cell (,)
true_positive	12546709	19010	19014	cell	cl	CL:0000000	cell (,)
true_positive	12546709	19023	19028	Cells	cl	CL:0000000	cell (,)
true_positive	12546709	19337	19342	cells	cl	CL:0000000	cell (,)
true_positive	12546709	19439	19444	cells	cl	CL:0000000	cell (,)
true_positive	12546709	19826	19831	cells	cl	CL:0000000	cell (,)
true_positive	12546709	20146	20151	cells	cl	CL:0000000	cell (,)
true_positive	12546709	20249	20254	cells	cl	CL:0000000	cell (,)
true_positive	12546709	20500	20505	cells	cl	CL:0000000	cell (,)
true_positive	12546709	20706	20711	cells	cl	CL:0000000	cell (,)
true_positive	12546709	20820	20825	cells	cl	CL:0000000	cell (,)
true_positive	12546709	21153	21158	cells	cl	CL:0000000	cell (,)
true_positive	12546709	21247	21252	cells	cl	CL:0000000	cell (,)
true_positive	12546709	21359	21364	cells	cl	CL:0000000	cell (,)
true_positive	12546709	21503	21508	cells	cl	CL:0000000	cell (,)
true_positive	12546709	21723	21728	cells	cl	CL:0000000	cell (,)
true_positive	12546709	23547	23552	cells	cl	CL:0000000	cell (,)
true_positive	12546709	24389	24394	cells	cl	CL:0000000	cell (,)
true_positive	12546709	24433	24438	cells	cl	CL:0000000	cell (,)
true_positive	12546709	24609	24614	cells	cl	CL:0000000	cell (,)
true_positive	12546709	24668	24684	epithelial cells	cl	CL:0000066	epithelial cell (,)
true_positive	12546709	24740	24756	epithelial cells	cl	CL:0000066	epithelial cell (,)
true_positive	12546709	24804	24809	cells	cl	CL:0000000	cell (,)
true_positive	12546709	24867	24872	cells	cl	CL:0000000	cell (,)
true_positive	12546709	25108	25113	cells	cl	CL:0000000	cell (,)
true_positive	12546709	25279	25284	cells	cl	CL:0000000	cell (,)
true_positive	12546709	25428	25432	cell	cl	CL:0000000	cell (,)
true_positive	12546709	25480	25484	cell	cl	CL:0000000	cell (,)
true_positive	12546709	25570	25574	cell	cl	CL:0000000	cell (,)
true_positive	12546709	25739	25755	epithelial cells	cl	CL:0000066	epithelial cell (,)
true_positive	12546709	25767	25772	cells	cl	CL:0000000	cell (,)
true_positive	12546709	26887	26892	cells	cl	CL:0000000	cell (,)
true_positive	12546709	27301	27317	epithelial cells	cl	CL:0000066	epithelial cell (,)
true_positive	12546709	27379	27384	cells	cl	CL:0000000	cell (,)
true_positive	12546709	27863	27868	cells	cl	CL:0000000	cell (,)
true_positive	12546709	28361	28366	cells	cl	CL:0000000	cell (,)
true_positive	12546709	28500	28515	epithelial cell	cl	CL:0000066	epithelial cell (,)
true_positive	12546709	28553	28568	epithelial cell	cl	CL:0000066	epithelial cell (,)
true_positive	12546709	28582	28586	cell	cl	CL:0000000	cell (,)
true_positive	12546709	28667	28671	cell	cl	CL:0000000	cell (,)
true_positive	12546709	28734	28738	cell	cl	CL:0000000	cell (,)
true_positive	12546709	28801	28805	cell	cl	CL:0000000	cell (,)
true_positive	12546709	28842	28857	epithelial cell	cl	CL:0000066	epithelial cell (,)
true_positive	12546709	28874	28878	cell	cl	CL:0000000	cell (,)
true_positive	12546709	29316	29331	epithelial cell	cl	CL:0000066	epithelial cell (,)
true_positive	12546709	29935	29940	cells	cl	CL:0000000	cell (,)
true_positive	12546709	30058	30069	osteoblasts	cl	CL:0000062	osteoblast (,)
true_positive	12546709	30096	30101	cells	cl	CL:0000000	cell (,)
true_positive	12546709	30210	30220	macrophage	cl	CL:0000235	macrophage (,histiocyte)
true_positive	12546709	30246	30251	cells	cl	CL:0000000	cell (,)
true_positive	12546709	30532	30536	cell	cl	CL:0000000	cell (,)
true_positive	12546709	30715	30720	cells	cl	CL:0000000	cell (,)
true_positive	12546709	30788	30792	cell	cl	CL:0000000	cell (,)
true_positive	12546709	30839	30843	cell	cl	CL:0000000	cell (,)
true_positive	12546709	30898	30902	cell	cl	CL:0000000	cell (,)
true_positive	12546709	31050	31055	cells	cl	CL:0000000	cell (,)
true_positive	12546709	31215	31231	epithelial cells	cl	CL:0000066	epithelial cell (,)
true_positive	12546709	31415	31419	cell	cl	CL:0000000	cell (,)
true_positive	12546709	31538	31542	cell	cl	CL:0000000	cell (,)
true_positive	12546709	31662	31666	cell	cl	CL:0000000	cell (,)
true_positive	12546709	32319	32335	epithelial cells	cl	CL:0000066	epithelial cell (,)
true_positive	12546709	32729	32745	epithelial cells	cl	CL:0000066	epithelial cell (,)
true_positive	12546709	32811	32816	cells	cl	CL:0000000	cell (,)
true_positive	12546709	32896	32912	epithelial cells	cl	CL:0000066	epithelial cell (,)
true_positive	12546709	33035	33039	cell	cl	CL:0000000	cell (,)
true_positive	12546709	33105	33109	cell	cl	CL:0000000	cell (,)
true_positive	12546709	20520	20524	cell	cl	CL:0000000	cell (,)
true_positive	12546709	21173	21177	cell	cl	CL:0000000	cell (,)
true_positive	12546709	24488	24503	epithelial cell	cl	CL:0000066	epithelial cell (,)
true_positive	12585968	356	371	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	1116	1131	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	1615	1630	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	1738	1745	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	12585968	2427	2432	cells	cl	CL:0000000	cell (,)
true_positive	12585968	2570	2577	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	12585968	2601	2608	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	12585968	2969	2974	cells	cl	CL:0000000	cell (,)
true_positive	12585968	2986	3001	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	3200	3215	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	3579	3594	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	4136	4150	sensory neuron	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	4434	4449	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	4787	4794	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	12585968	5376	5383	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	12585968	6057	6072	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	6133	6148	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	6745	6765	vestibular hair cell	cl	CL:0000609	vestibular hair cell (,)
true_positive	12585968	6856	6871	outer hair cell	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	8213	8229	outer hair cells	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	8481	8496	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	8648	8655	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	12585968	9207	9222	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	9584	9600	outer hair cells	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	9722	9738	outer hair cells	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	9893	9908	outer hair cell	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	9967	9982	outer hair cell	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	10925	10941	outer hair cells	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	11050	11066	outer hair cells	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	11441	11457	outer hair cells	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	11588	11603	outer hair cell	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	11971	11986	outer hair cell	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	13088	13103	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	13406	13418	pillar cells	cl	CL:1000191	pillar cell (,pillar cell of cochlea)
true_positive	12585968	14049	14065	outer hair cells	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	14268	14272	cell	cl	CL:0000000	cell (,)
true_positive	12585968	14617	14633	outer hair cells	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	14943	14948	cells	cl	CL:0000000	cell (,)
true_positive	12585968	15032	15047	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	15308	15323	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	15532	15547	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	15834	15849	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	16036	16051	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	16255	16270	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	17890	17905	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	18214	18219	cells	cl	CL:0000000	cell (,)
true_positive	12585968	18323	18328	cells	cl	CL:0000000	cell (,)
true_positive	12585968	18868	18883	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	19322	19338	outer hair cells	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	19420	19427	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	12585968	23090	23105	primary neurons	cl	CL:0000530	primary neuron (,)
true_positive	12585968	23260	23267	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	12585968	23638	23642	cell	cl	CL:0000000	cell (,)
true_positive	12585968	23860	23875	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	24170	24185	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	24577	24592	primary neurons	cl	CL:0000530	primary neuron (,)
true_positive	12585968	24727	24742	primary neurons	cl	CL:0000530	primary neuron (,)
true_positive	12585968	25425	25440	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	26673	26688	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	26766	26781	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	27880	27895	primary neurons	cl	CL:0000530	primary neuron (,)
true_positive	12585968	28249	28264	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	28506	28513	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	12585968	28842	28858	outer hair cells	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	28968	28984	outer hair cells	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	29134	29146	pillar cells	cl	CL:1000191	pillar cell (,pillar cell of cochlea)
true_positive	12585968	29544	29560	outer hair cells	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	29885	29896	motoneurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	12585968	32050	32056	neuron	cl	CL:0000540	neuron (,nerve cell)
true_positive	12585968	32157	32163	neuron	cl	CL:0000540	neuron (,nerve cell)
true_positive	12585968	32459	32475	outer hair cells	cl	CL:0000601	outer hair cell (,cochlear outer hair cell)
true_positive	12585968	32929	32944	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	33085	33099	sensory neuron	cl	CL:0000101	sensory neuron (,)
true_positive	12585968	36486	36493	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	12585968	36854	36861	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	12585968	37119	37126	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	12585968	37130	37135	cells	cl	CL:0000000	cell (,)
true_positive	12585968	13480	13494	Deiters' cells	cl	CL:0000635	Deiter's cell (,)
true_positive	12925238	11979	11983	cell	cl	CL:0000000	cell (,)
true_positive	12925238	13084	13089	cells	cl	CL:0000000	cell (,)
true_positive	12925238	16764	16769	cells	cl	CL:0000000	cell (,)
true_positive	12925238	55	64	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	364	376	erythrocytes	cl	CL:0000232	erythrocyte (,{RBC, red blood cell})
true_positive	12925238	662	674	erythrocytes	cl	CL:0000232	erythrocyte (,{RBC, red blood cell})
true_positive	12925238	924	928	cell	cl	CL:0000000	cell (,)
true_positive	12925238	1022	1031	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	1042	1047	cells	cl	CL:0000000	cell (,)
true_positive	12925238	1159	1168	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	1621	1630	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	1640	1644	cell	cl	CL:0000000	cell (,)
true_positive	12925238	1823	1827	cell	cl	CL:0000000	cell (,)
true_positive	12925238	5656	5670	cardiomyocytes	cl	CL:0000746	cardiac muscle cell (,{cardiac myocyte, cardiomyocyte})
true_positive	12925238	5778	5787	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	5843	5852	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	6719	6723	cell	cl	CL:0000000	cell (,)
true_positive	12925238	7275	7284	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	8009	8018	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	8274	8283	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	11049	11058	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	11827	11832	cells	cl	CL:0000000	cell (,)
true_positive	12925238	12230	12234	cell	cl	CL:0000000	cell (,)
true_positive	12925238	13573	13578	cells	cl	CL:0000000	cell (,)
true_positive	12925238	13645	13650	cells	cl	CL:0000000	cell (,)
true_positive	12925238	13753	13758	cells	cl	CL:0000000	cell (,)
true_positive	12925238	13840	13845	cells	cl	CL:0000000	cell (,)
true_positive	12925238	13524	13529	cells	cl	CL:0000000	cell (,)
true_positive	12925238	15496	15500	cell	cl	CL:0000000	cell (,)
true_positive	12925238	15638	15648	leukocytes	cl	CL:0000738	leukocyte (,{leucocyte, immune cell, white blood cell})
true_positive	12925238	15791	15800	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	15816	15827	lymphocytes	cl	CL:0000542	lymphocyte (,)
true_positive	12925238	15829	15838	monocytes	cl	CL:0000576	monocyte (,)
true_positive	12925238	15929	15937	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	16019	16027	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	16142	16150	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	16266	16274	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	16324	16332	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	16567	16575	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	16630	16638	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	16652	16660	Platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	16876	16881	cells	cl	CL:0000000	cell (,)
true_positive	12925238	16920	16925	cells	cl	CL:0000000	cell (,)
true_positive	12925238	17039	17047	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	17196	17204	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	17295	17304	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	17402	17411	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	17631	17640	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	17653	17662	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	17697	17706	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	17770	17779	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	17814	17822	Platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	17847	17855	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	18072	18080	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	18338	18346	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	18642	18651	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	18741	18750	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	18787	18795	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	18831	18840	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	19251	19255	cell	cl	CL:0000000	cell (,)
true_positive	12925238	19315	19320	cells	cl	CL:0000000	cell (,)
true_positive	12925238	19677	19682	cells	cl	CL:0000000	cell (,)
true_positive	12925238	23790	23794	cell	cl	CL:0000000	cell (,)
true_positive	12925238	25417	25425	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	25468	25476	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	25575	25584	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	25713	25722	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	25879	25888	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	26288	26296	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	26317	26325	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	26900	26904	cell	cl	CL:0000000	cell (,)
true_positive	12925238	26921	26933	erythrocytes	cl	CL:0000232	erythrocyte (,{RBC, red blood cell})
true_positive	12925238	26988	26999	erythrocyte	cl	CL:0000232	erythrocyte (,{RBC, red blood cell})
true_positive	12925238	28290	28294	cell	cl	CL:0000000	cell (,)
true_positive	12925238	28641	28649	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	30241	30253	erythrocytes	cl	CL:0000232	erythrocyte (,{RBC, red blood cell})
true_positive	12925238	32477	32485	Platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	32655	32663	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	32687	32695	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	33004	33012	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	33134	33143	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	33434	33443	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	33898	33906	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	34057	34061	cell	cl	CL:0000000	cell (,)
true_positive	12925238	34168	34172	cell	cl	CL:0000000	cell (,)
true_positive	12925238	34230	34239	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	34362	34371	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	34477	34487	leucocytes	cl	CL:0000738	leukocyte (,{leucocyte, immune cell, white blood cell})
true_positive	12925238	34622	34630	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	34653	34664	lymphocytes	cl	CL:0000542	lymphocyte (,)
true_positive	12925238	34666	34675	monocytes	cl	CL:0000576	monocyte (,)
true_positive	12925238	35727	35736	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	35818	35827	platelets	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	35862	35866	cell	cl	CL:0000000	cell (,)
true_positive	12925238	35959	35967	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	12925238	21307	21312	cells	cl	CL:0000000	cell (,)
true_positive	14609438	18620	18624	cell	cl	CL:0000000	cell (,)
true_positive	14611657	1559	1564	cells	cl	CL:0000000	cell (,)
true_positive	14611657	1610	1614	cell	cl	CL:0000000	cell (,)
true_positive	14611657	3401	3405	cell	cl	CL:0000000	cell (,)
